
# Development Desktop 2.0 Beta
# Data Export for Sensor : BHI160
# Start: 2022-11-16 오후 4:25:17
SensorTime(WakeUp),SensorTime(NonWakeUp),Accel(NonWakeUp) - X axis - M/s2,Accel(NonWakeUp) - Y axis - M/s2,Accel(NonWakeUp) - Z axis - M/s2,Mag(NonWakeUp) - X axis - uT,Mag(NonWakeUp) - Y axis - uT,Mag(NonWakeUp) - Z axis - uT,Gyro(NonWakeUp) - X axis - deg/sec,Gyro(NonWakeUp) - Y axis - deg/sec,Gyro(NonWakeUp) - Z axis - deg/sec,MetaEvents (NonWakeUp) - Name,MetaEvents (NonWakeUp) - Byte 1,MetaEvents (NonWakeUp) - Byte 2,MetaEvents (WakeUp) - Name,MetaEvents (WakeUp) - Byte 1,MetaEvents (WakeUp) - Byte 2,
*,489.99953125,0.9338,0.5267,9.9757,-4.7692,-11.2308,-14.2308,-30.5000,-25.9375,25.6250,*,*,*,*,*,*,
*,490.01946875,1.7143,-0.7075,9.6082,*,*,*,-32.8125,-29.3125,43.8750,*,*,*,*,*,*,
*,490.03937500,2.5870,-1.6832,6.8656,-4.1538,-10.6154,-14.8462,-41.7500,-16.5000,26.3125,*,*,*,*,*,*,
*,490.05931250,0.9541,-0.3196,10.6007,*,*,*,-82.3750,-1.6250,-11.7500,*,*,*,*,*,*,
*,490.07925000,2.9462,-0.0551,10.1625,-4.4615,-10.9231,-15.1538,-23.6250,-14.3125,-4.0625,*,*,*,*,*,*,
*,490.09915625,2.3955,0.1712,10.3337,*,*,*,-39.1875,-15.9375,16.8125,*,*,*,*,*,*,
*,490.11909375,1.5323,-0.2299,9.9674,-5.0769,-10.6154,-14.8462,-60.0625,-29.4375,31.6875,*,*,*,*,*,*,
*,490.13900000,1.1852,-2.4649,10.0595,*,*,*,-31.0625,-28.7500,29.6875,*,*,*,*,*,*,
*,490.15893750,0.8631,-2.5703,9.3125,-6.0000,-9.3846,-15.7692,48.1250,-33.6250,28.0625,*,*,*,*,*,*,
*,490.17887500,3.0575,-0.7949,8.6098,*,*,*,60.2500,-26.3125,8.3125,*,*,*,*,*,*,
*,490.19878125,3.5028,-0.0072,9.4622,-5.0769,-9.0769,-14.5385,15.1875,-6.6250,-13.3750,*,*,*,*,*,*,
*,490.21871875,2.0794,0.1616,10.2954,*,*,*,7.2500,3.1875,-40.1250,*,*,*,*,*,*,
*,490.23862500,2.7953,0.4920,10.2487,-6.6154,-9.3846,-15.1538,-5.8125,-7.7500,-14.7500,*,*,*,*,*,*,
*,490.25856250,2.3967,-0.7590,9.3006,*,*,*,-52.2500,-1.1875,-1.8125,*,*,*,*,*,*,
*,490.27846875,1.5635,-0.6584,9.7267,-6.6154,-9.3846,-15.7692,-74.0000,-14.8125,4.9375,*,*,*,*,*,*,
*,490.29840625,2.2997,-1.2678,8.7906,*,*,*,-103.1250,-32.2500,22.3750,*,*,*,*,*,*,
